SMILES,Genotoxicity
CC(C)(C)C1=NN(C(N)=C1N=NC1=NN=C(SCCSC2=NN=C(S2)N=NC2=C(N)N(N=C2C(C)(C)C)C2=CC(=CC(=C2)C(O)=O)C(O)=O)S1)C1=CC(=CC(=C1)C(O)=O)C(O)=O,0
CCO[Si](CCCNCCC[Si](OCC)(OCC)OCC)(OCC)OCC,0
CC(=O)OCCN(CCC#N)C1=CC=C(C=C1)N=NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,0
CC([O-])=O.NC1=CC=C(C=C1)C(C1=CC=C(N)C=C1)=C1C=CC(=[NH2+])C=C1,0
[O--].[O--].[O--].[W+6],0
O1[Si](O[Si](O[Si](O[Si]1(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0
[Mn++].[O-]P=O.[O-]P=O,0
CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,0
[Na+].CC(C)C1=CC=C(C=C1)S([O-])(=O)=O,0
O=C1CCCCCCCCCC\C=C/CC1,0
CS(=O)(=O)OC1=CC=C(NC2=C3C(=O)C4=C(C=CC=C4)C(=O)C3=C(O)C=C2)C=C1,0
CO[Si](CCCNC1CCCCC1)(OC)OC,0
CCCC,0
C(CCOCC1CO1)COCC1CO1,1
CCC(C)CC(=O)CC,0
CC(=O)OC(C)(C)CC1=CC=CC=C1,0
C[C@]12CCCC(C)(C)[C@H]3[C@H](CC[C@@H]13)C2=C,0
COC1=CC2=C(SC3=C(C=CC=C3)N2CC(C)CN(C)C)C=C1,0
CC(C)=CCC\C(C)=C\CCC(=C)C=C,0
CO[Si](CCCCCC[Si](OC)(OC)OC)(OC)OC,0
[Na+].O=[Al-]=O,0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,0
[H][C@@]1(CC[C@H](CCC)CC1)[C@@]1([H])CC[C@@H](CC1)C=C,0
CC(=O)N[C@@H](CCC(O)=O)C(O)=O.CC(C)C[C@H](N)C1=CC=CC=C1N1CCCCC1,0
CCCCCCCCN=C1C=CNC=C1,0
[Al+3].CCP([O-])(=O)CC.CCP([O-])(=O)CC.CCP([O-])(=O)CC,0
[K+].[K+].[O-]B1OB2OB([O-])OB(O1)O2,0
[Na+].[Na+].O=[Mo--](=O)(=O)=O,0
Cl.CCCCCCCCCCCC(=O)N[C@@H](CCCNC(N)=N)C(=O)OCC,0
CC(=O)OCCOCCOCCOC(C)=O,0
[Li+].CC([O-])=O,0
CCCCO,0
CCOC(=O)C1=CC2=C(SC3=CC=CC=C3C2=O)C=C1,0
OC1=CC(O)=CC(O)=C1,0
C=CCOC(=O)C1CCCCC1C(=O)OCC=C,0
CCN(CC)CCCN,0
CCC1(CO)COC1,0
CCCCCCC(O)=O,0
Cl.N=C(NC1=CC=CC=C1)NC1=CC=CC=C1,1
[Na+].[Na+].[Na+].NC1=C(N=NC2=C(C=C(NC3=NC(F)=NC(NCCOCCS(=O)(=O)C=C)=N3)C=C2)S([O-])(=O)=O)C2=C(O)C=C(C=C2C=C1S([O-])(=O)=O)S([O-])(=O)=O,0
CCCCCC=O,0
[Cr+3].[Cr+3].[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O,0
CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0
OC(=O)C1=C(Cl)C=CC(I)=C1,0
O=[Nd]O[Nd]=O,0
CC1=C(C=C2NC(=O)NC2=C1)N=NC1C(=O)NC(=O)NC1=O,0
CC(C)=CCC\C(C)=C\COC(C)=O,0
CCC(COC(=O)C(C)=C)(COC(=O)C(C)=C)COC(=O)C(C)=C,0
C=COCC1CCC(COC=C)CC1,0
CN(C)C(=O)NC1=CC=C(C)C(NC(=O)N(C)C)=C1,0
[Cl-].C[N+](C)(C)CC(O)CCl,0
CCC[Si](OC(C)=O)(OC(C)=O)OC(C)=O,0
OC(=O)C1=CC=CC(=N1)C(O)=O,0
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,0
CCCN(C)C,0
CC1=CC(C)=C(O)C(C)=C1,0
C1=CC2=CC=CC=C2C=C1,0
CCCCC#N,0
[Ba++].CCCCCCCCCCCC([O-])=O.CCCCCCCCCCCC([O-])=O,0
O=C1C(NC2=C1C=CC=C2)=C1NC2=C(C=CC=C2)C1=O,1
[NH4+].[NH4+].OP([O-])([O-])=O,0
ClS(Cl)(=O)=O,1
CC1=CC(=C(C)C=C1)[N+]([O-])=O,1
[K+].[K+].[O-]S([O-])(=O)=O,0
CC1(C)N(CO)C(=O)N(CO)C1=O,0
CC1=CC(C)=C(C=C1)[N+]([O-])=O,1
[NH4+].[NH4+].[O-]S([S-])(=O)=O,0
CCOC(=O)C(=C)C#N,0
CC(C)(C)C1=CC=C(N)C=C1,1
[H][C@@]1(N)C(=O)N2C(C(O)=O)=C(CSC3=NC(=O)C(=O)NN3C)CSC12[H],0
CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC)C(=O)NCCCC,0
CCNC1=CC=CC=C1,0
NC1=CC=CC(=C1)C(O)=NC1=C2C(O)=CC(=CC2=C(C=C1)S(O)(=O)=O)S(O)(=O)=O,0
