COC(=O)Cl
CN(CCO)c1nc(Nc2ccccc2)nc(Nc2ccc(C=Cc3ccc(Nc4nc(Nc5ccccc5)nc(N(C)CCO)n4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)n1.[Na+].[Na+]
CCN1CCN(Cc2ccc(N)nc2)CC1
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2c(O)c(S(=O)(=O)[O-])cc3cc(S(=O)(=O)[O-])ccc23)cc1.[Na+]
Nc1ncccc1Br
Brc1cnc2ccccc2c1
FC(F)=C(F)OC(F)(F)OC(F)(F)F
Cc1cc(Cc2cc(C)cc(C3CCCCC3)c2O)c(O)c(C2CCCCC2)c1
CCCCC(CC)C(=O)O[Sn](CCCC)(CCCC)OC(=O)C(CC)CCCC
O=C1c2ccccc2C(=O)c2c(Nc3nc(Nc4cccc5c4C(=O)c4ccccc4C5=O)nc(-c4ccccc4)n3)cccc21
CCCCCC
C=CC(=O)OCCOCCOCC(CC)CCCC
FC(F)(F)OC(Cl)C(F)(Cl)Cl
O=[N+]([O-])c1ccccc1O
C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C
O=Cc1ccccc1O
C=C(Br)C(=O)Nc1ccc(N=Nc2c(N)ccc3cc(S(=O)(=O)[O-])ccc23)c(S(=O)(=O)c2ccc(C)c(S(=O)(=O)[O-])c2)c1.[Na+].[Na+]
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O.c1ccc(C2=NCCN2)cc1
C=C(C)c1ccccc1
CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC
CC(C)CCN
CCOC(=O)C1CCCO1
CC=O
ClCc1ccc(CCl)cc1
CS(=O)(=O)O.NC(=O)[C@@H]1C[C@@H]2C[C@@H]2N1
c1ccc(CCOC2CCCCC2)cc1
N#CCCCCCCC#N
CCCCCCCCCCCCCl
CCC(CO)(CO)CO
CCc1occc(=O)c1O
[Ag+].[C-]#N
[Pb+2].[S-2]
CCCCC(CC)CNS(=O)(=O)c1ccc(N=Nc2c(C)c(C#N)c(=O)n(CCCC)c2O)cc1
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COS(C)(=O)=O
[Cu+2].[NH4+].[NH4+].[NH4+].[NH4+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
O=C(Oc1ccccc1)c1ccc(O)cc1
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
CC(CO)(CO)CO
